Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Mnf.,Price
34,b'Stepper Motor Driver',b'Pololu_A4988',b'U3 U4',b'Pololu_A4988',b'Pololu_A4988',b'2',b'',b'3M-929974-01-30-RK',b'1.98'
35,b'Dual DC Motor Driver',b'Pololu_Dual_MC33926',b'U6',b'Pololu_Dual_MC33926',b'Pololu_Dual_MC33926',b'1',b'',b'Wurth-61304011121',b'1.31'
36,b'RS485 Transceiver',b'SN65HVD485EDR',b'U2',b'SN65HVD485EDR',b'SOIC-8_3.9x4.9mm_Pitch1.27mm_HandSoldering',b'1',b'',b'SN65HVD485EDR',b'1.74'
37,b'Temperature sensor - I2C',b'TC74',b'U8',b'TC74',b'SOT-23-5_HandSoldering',b'1',b'',b'TC74A05.0VCTTR',b'0.886'
38,b'',b'TPS54360DDA',b'U5',b'TPS54360DDA',b'HSOP-8',b'1',b'',b'TPS54360DDAR',b'4'





Component Groups:,38
Component Count:,65
Fitted Components:,65
Number of PCBs:,1
Total components:,65
Schematic Version:,v2
Schematic Date:,2018-01-21
BoM Date:,b'Sun 21 Jan 2018 06:33:01 PM EET'
Schematic Source:,b'/home/azisi/Documents/SatNOGS/satnogs-rotator-controller/satnogs_controller/satnogs_controller.sch'
KiCad Version:,b'Eeschema 4.0.7'
